"municipio_id_sus","uf_sigla","municipio_nome","isf_nota","periodo_data_inicio"
"220270",PI,COCAL,3.36,2022-12-01
"355640",SP,VARGEM GRANDE DO SUL,3.37,2022-12-01
"520495",GO,CAMPOS VERDES,3.37,2022-12-01
"411570",PR,MATINHOS,3.37,2022-12-01
"431046",RS,IPIRANGA DO SUL,3.37,2022-12-01
"315620",MG,ROCHEDO DE MINAS,3.38,2022-12-01
"430466",RS,CAPÃO DO LEÃO,3.38,2022-12-01
"420390",SC,CAPINZAL,3.38,2022-12-01
"316860",MG,TEÓFILO OTONI,3.38,2022-12-01
"430450",RS,CANGUÇU,3.39,2022-12-01
"330600",RJ,TRÊS RIOS,3.39,2022-12-01
"430537",RS,CHARRUA,3.4,2022-12-01
"291845",BA,JUCURUÇU,3.41,2022-12-01
"350635",SP,BERTIOGA,3.42,2022-12-01
"150830",PA,VISEU,3.42,2022-12-01
"315780",MG,SANTA LUZIA,3.42,2022-12-01
"310340",MG,ARAÇUAÍ,3.43,2022-12-01
"240350",RN,ESPÍRITO SANTO,3.43,2022-12-01
"150110",PA,BAGRE,3.43,2022-12-01
"431150",RS,LAVRAS DO SUL,3.43,2022-12-01
"350940",SP,CAJURU,3.44,2022-12-01
"431480",RS,PORTÃO,3.44,2022-12-01
"421680",SC,SÃO JOSÉ DO CERRITO,3.45,2022-12-01
"312110",MG,DELFIM MOREIRA,3.46,2022-12-01
"280700",SE,SÃO MIGUEL DO ALEIXO,3.47,2022-12-01
"330250",RJ,MAGÉ,3.47,2022-12-01
"421480",SC,RIO DO SUL,3.48,2022-12-01
"431171",RS,MAÇAMBARÁ,3.48,2022-12-01
"330190",RJ,ITABORAÍ,3.49,2022-12-01
"352250",SP,ITAPEVI,3.49,2022-12-01
"420287",SC,BRUNÓPOLIS,3.5,2022-12-01
"291992",BA,MADRE DE DEUS,3.5,2022-12-01
"130063",AM,BERURI,3.5,2022-12-01
"430760",RS,ESTÂNCIA VELHA,3.5,2022-12-01
"521305",GO,MIMOSO DE GOIÁS,3.5,2022-12-01
"292860",BA,SANTO AMARO,3.5,2022-12-01
"411430",PR,MANDIRITUBA,3.51,2022-12-01
"520085",GO,AMERICANO DO BRASIL,3.51,2022-12-01
"353110",SP,MONGAGUÁ,3.51,2022-12-01
"210890",MA,POÇÃO DE PEDRAS,3.53,2022-12-01
"330227",RJ,JAPERI,3.53,2022-12-01
"521760",GO,PLANALTINA,3.54,2022-12-01
"316070",MG,SANTOS DUMONT,3.55,2022-12-01
"412190",PR,RIBEIRÃO DO PINHAL,3.55,2022-12-01
"430175",RS,BARÃO DO TRIUNFO,3.55,2022-12-01
"150040",PA,ALENQUER,3.56,2022-12-01
"510100",MT,ARAGUAIANA,3.56,2022-12-01
"411930",PR,PINHÃO,3.56,2022-12-01
"350670",SP,BOA ESPERANÇA DO SUL,3.56,2022-12-01
"120017",AC,CAPIXABA,3.57,2022-12-01
"432220",RS,TUPANCIRETÃ,3.58,2022-12-01
